community,sv,count,fract
wgs__ERR2213660,sv-427:wgs__ERR2213661,6012,0.038268375121736975
wgs__ERR2213660,sv-537:wgs__ERR2213660,5663,0.03604687430379183
wgs__ERR2213660,sv-622:wgs__ERR2235328,2037,0.01296618099184601
wgs__ERR2213660,sv-1889:wgs__ERR2213660,6969,0.04435999770848053
wgs__ERR2213660,sv-2610:wgs__ERR2213660,5349,0.034048160100826855
wgs__ERR2213660,sv-2844:wgs__ERR2213660,5004,0.03185212061030802
wgs__ERR2213660,sv-2941:wgs__ERR2213660,4872,0.03101189680523994
wgs__ERR2213660,sv-3030:wgs__ERR2213660,2910,0.018523115702637157
wgs__ERR2213660,sv-3540:wgs__ERR2213660,4212,0.026810777779899556
wgs__ERR2213660,sv-3585:wgs__ERR2213660,4178,0.02659435649677596
wgs__ERR2213660,sv-3800:wgs__ERR2213660,3998,0.02544859676259222
wgs__ERR2213660,sv-3810:wgs__ERR2213660,864,0.00549964672408196
wgs__ERR2213660,sv-3851:wgs__ERR2213660,3957,0.025187618156472587
wgs__ERR2213660,sv-3941:wgs__ERR2213660,3901,0.024831159572504313
wgs__ERR2213660,sv-4014:wgs__ERR2213660,2586,0.016460748181106422
wgs__ERR2213660,sv-4175:wgs__ERR2213660,3757,0.02391455178515732
wgs__ERR2213660,sv-4370:wgs__ERR2213660,3642,0.02318253862165104
wgs__ERR2213660,sv-4477:wgs__ERR2213660,3586,0.022826080037682765
wgs__ERR2213660,sv-4661:wgs__ERR2213660,3486,0.022189546852025132
wgs__ERR2213660,sv-5086:wgs__ERR2213660,3279,0.02087192315771383
wgs__ERR2213660,sv-5122:wgs__ERR2213660,3266,0.020789173843578333
wgs__ERR2213660,sv-5488:wgs__ERR2213660,3118,0.019847104728805038
wgs__ERR2213660,sv-5634:wgs__ERR2213660,3066,0.019516107472263067
wgs__ERR2213660,sv-5658:wgs__ERR2213660,3055,0.019446088821840728
wgs__ERR2213660,sv-5830:wgs__ERR2213660,2985,0.019000515591880384
wgs__ERR2213660,sv-6509:wgs__ERR2213660,2750,0.01750466260558494
wgs__ERR2213660,sv-6674:wgs__ERR2213660,2702,0.01719912667646928
wgs__ERR2213660,sv-6675:wgs__ERR2213660,2701,0.0171927613446127
wgs__ERR2213660,sv-6966:wgs__ERR2213660,2604,0.016575324154524795
wgs__ERR2213660,sv-7369:wgs__ERR2213660,2479,0.015779657672452752
wgs__ERR2213660,sv-7411:wgs__ERR2213660,2464,0.015684177694604107
wgs__ERR2213660,sv-7522:wgs__ERR2213660,2433,0.015486852407050241
wgs__ERR2213660,sv-7759:wgs__ERR2213660,2371,0.015092201831942507
wgs__ERR2213660,sv-7959:wgs__ERR2213660,2315,0.014735743247974234
wgs__ERR2213660,sv-8108:wgs__ERR2213660,2272,0.01446203397814145
wgs__ERR2213660,sv-8588:wgs__ERR2213660,2146,0.013660002164212832
wgs__ERR2213660,sv-8638:wgs__ERR2213660,2133,0.013577252850077338
wgs__ERR2213660,sv-8807:wgs__ERR2213660,2085,0.013271716920961674
wgs__ERR2213660,sv-9118:wgs__ERR2213660,2011,0.012800682363575025
wgs__ERR2213660,sv-9665:wgs__ERR2213660,1875,0.011934997231080642
wgs__ERR2213660,sv-10452:wgs__ERR2213660,1691,0.010763776169470595
wgs__ERR2213660,sv-10455:wgs__ERR2213660,1690,0.010757410837614018
